Ra,Rz,Fz,Fr,Ront,Cylt,MRR
0.163167,0.841,0.2867544,0.2350648,19.105,18.765,113.400287
0.233333,1.253,0.5795376,0.2431245,13.08,12.21,226.8022963
0.2415,1.55017,0.5630527,0.3145223,19.143,14.005,113.4000718
0.218,1.065,0.5655677,0.3271163,12.91,13.035,226.8005741
0.192833,1.134,0.09410152,0.2118021,22.121,17.635,210.6005331
0.1855,1.092,0.3028975,0.1978993,32.475,24.625,421.2042646
0.203667,1.2185,0.4629927,0.2899092,19.42,13.225,210.6001333
0.2495,1.482,0.7245887,0.2786109,25.486,19.46,421.2010662
0.201333,1.61,0.1737935,0.1753089,16.439,11.54,113.400287
0.146,0.9315,0.2403765,0.2260577,12.8,8.605,226.8022963
0.242667,1.3953,0.2530459,0.3129293,20.136,15.035,113.4000718
0.283833,1.73067,0.7080224,0.3284587,22.7,21.89,226.8005741
0.193,1.15117,0.3565783,0.1913427,17.77,13.01,210.6005331
0.204833,1.299,0.6986256,0.2187362,14.67,13.025,421.2042646
0.236667,1.2916,0.253174,0.2793565,18.61,14.375,210.6001333
0.236167,1.3826,0.5680661,0.2800496,24.945,17.18,421.2010662
0.142,0.84533,0.5414898,0.2200316,15.67,18.8,113.400287
0.147333,0.8728,0.313306,0.2242507,13.08,12.625,226.8022963
0.207667,1.1056,0.2555452,0.3085149,22.33,20.38,113.4000718
0.220167,1.3276,0.7936813,0.3379719,20.01,12.895,226.8005741
0.194,0.805,0.6746019,0.2621402,15.46,11.165,210.6005331
0.172333,1.07067,0.4910402,0.209402,16.97,12.43,421.2042646
0.164,0.99283,0.6444435,0.2723958,23.23,22.69,210.6001333
0.211167,1.30483,0.5231674,0.2945546,23.99,17.48,421.2010662
0.181,1.2475,0.5870395,0.2654078,13.15,12.95,113.400287
0.183833,1.19633,0.8524468,0.2642414,18.41,14.52,226.8022963
0.235833,1.4815,0.752328,0.3491316,13.97,12.45,113.4000718
0.263833,1.55567,0.5508451,0.3315206,21.79,18.975,226.8005741
0.189,0.934,0.4728095,0.2119311,19.85,15.33,210.6005331
0.167833,1.044,0.5956317,0.2050123,16.08,11.72,421.2042646
0.2425,1.362,0.6525651,0.3039938,19.16,16.15,210.6001333
0.194333,1.185,0.6231722,0.2918691,19.14,15.09,421.2010662
0.149667,1.0255,0.4106336,0.2444938,15.1725,12.545,50.34845284
0.175,1.07483,0.6570838,0.2764978,18.31,13.415,435.655097
0.098167,0.646,0.111225,0.126395,11.72,11.49,243.0143274
0.199333,1.153,0.6450248,0.3308577,20.71,16.535,243.0001914
0.257167,1.53417,0.8644715,0.3359055,10.78875,9.4,69.61377884
0.210667,1.25083,0.6022781,0.2488986,18.41,17.53,416.3874513
0.159833,1.013,0.6203706,0.2481766,15.87,12.8,243.0006151
0.129,0.79333,0.07367048,0.2364257,19.38,15.28,243.0006151
0.1415,0.9155,0.4882668,0.249305,18.35,16.035,243.0006151
0.1475,0.9156,0.6439318,0.295333,17.81375,14.41,243.0006151
0.174667,1.05233,0.7936245,0.3092481,13.57875,13.595,243.0006151
0.167,1.05867,0.66117,0.2475673,14.5425,12.595,243.0006151
0.1465,0.90967,0.3135905,0.2507813,14.46,10.76,243.0006151
0.157833,1.075,0.7319693,0.2687708,23.77,17.965,243.0006151
0.138333,0.88233,0.5159013,0.2958355,14.46625,12.125,243.0006151
